"book_id","specification_id","value"
251,1,"8931805360094"
251,3,"Cty TNHH TM&DV VH GD Phía Nam"
251,4,"Tiếng Việt"
252,1,"8935072958503"
252,3,"Cty Văn Hóa Nhân Văn"
253,1,"8935236436182"
253,3,"Nhà Sách Minh Thắng"
253,4,"Tiếng Việt"
254,1,"8935236429337"
254,3,"Nhà Sách Minh Thắng"
255,1,"8935244828498"
255,3,"Nhà Xuất Bản Kim Đồng"
256,1,"8935244828504"
256,3,"Nhà Xuất Bản Kim Đồng"
257,1,"8935212352932"
257,3,"Đinh Tị"
257,6,"Phùng Nga"
258,1,"8935244828443"
258,3,"Nhà Xuất Bản Kim Đồng"
259,1,"8936067605624"
259,3,"Minh Long"
260,1,"9786044770505"
260,3,"Cty Văn Hóa Việt Thư"
261,1,"8936067605631"
261,3,"Minh Long"
262,1,"8935236428392"
262,3,"Nhà Sách Minh Thắng"
263,1,"8935210306715"
263,3,"Tân Việt"
263,6,"Ngọc Mỹ"
264,1,"9786045690703"
264,3,"Cty Văn Hóa Việt Thư"
265,1,"8935210306692"
265,3,"Tân Việt"
265,6,"Ngọc Mỹ"
266,1,"8936067606287"
266,3,"Minh Long"
267,1,"8936067596731"
267,3,"Minh Long"
268,1,"8936067596724"
268,3,"Minh Long"
269,1,"9786045694169"
269,3,"Cty Văn Hóa Việt Thư"
270,1,"8935210306739"
270,3,"Tân Việt"
270,6,"Ngọc Mỹ"
271,1,"8935246936115-bq"
271,3,"MCBooks"
272,1,"8936067596700"
272,3,"Minh Long"
272,4,"Tiếng Việt"
273,1,"9786045689165"
273,7,"Cty Sách Giáo Dục Bắc Hà"
274,1,"8935210306722"
274,3,"Tân Việt"
274,6,"Ngọc Mỹ"
275,1,"8935074134141"
275,3,"Cty Văn Hóa Việt Thư"
276,1,"8935244828436"
276,3,"Nhà Xuất Bản Kim Đồng"
277,1,"8935343701074"
278,1,"9786044963259"
278,3,"Cty Văn Hóa & Truyền Thông Trí Việt."
279,1,"8935343701005"
280,1,"8935343701036"
281,1,"9786326115628"
282,1,"8935343701043"
283,1,"9786326069853"
283,3,"Cty Văn Hóa & Truyền Thông Trí Việt."
284,1,"8936065770836"
284,3,"CÔNG TY TNHH IN THƯƠNG MẠI TUẤN VIỆT"
285,1,"9786044929033"
286,1,"9786044963211"
286,3,"Cty Văn Hóa & Truyền Thông Trí Việt."
287,1,"9786045546567"
287,3,"Crabit Kidbooks"
288,1,"9786044963235"
288,3,"Cty Văn Hóa & Truyền Thông Trí Việt."
289,1,"8935309503353"
289,3,"Alpha Books"
289,4,"Tiếng Việt"
290,1,"9786044963242"
290,3,"Cty Văn Hóa & Truyền Thông Trí Việt."
291,1,"8935309503339"
291,3,"Alpha Books"
291,4,"Tiếng Việt"
292,1,"8935227347602"
292,3,"Dn Tư Nhân Thương Mại Toàn Phúc"
292,4,"Tiếng Việt"
293,1,"9786044963266"
293,3,"Cty Văn Hóa & Truyền Thông Trí Việt."
294,1,"8935236431941"
294,3,"Nhà Sách Minh Thắng"
295,1,"9786044963273"
295,3,"Cty Văn Hóa & Truyền Thông Trí Việt."
296,1,"8935210308016"
296,3,"Tân Việt"
297,1,"8935210311450"
297,3,"Tân Việt"
297,4,"Tiếng Việt"
298,1,"8935210307941"
298,3,"Tân Việt"
299,1,"8935210311412"
299,3,"Tân Việt"
299,4,"Tiếng Việt"
300,1,"8935212358286"
300,3,"Đinh Tị"
301,1,"8935212357050"
301,3,"Đinh Tị"
301,6,"Hà Giang"
302,1,"9781837958252"
302,3,"Tân Việt"
302,6,"Ngọc Mỹ"
303,1,"9781837958269"
303,3,"Tân Việt"
303,6,"Ngọc Mỹ"
304,1,"9781837958276"
304,3,"Tân Việt"
304,6,"Ngọc Mỹ"
